date,open
2011-12-30,1257.60
2011-12-29,1263.02
2011-12-28,1249.64
2011-12-27,1265.43
2011-12-23,1265.33
2011-12-22,1254.00
2011-12-21,1243.72
2011-12-20,1241.30
2011-12-19,1205.35
2011-12-16,1219.66
2011-12-15,1215.75
2011-12-14,1211.82
2011-12-13,1225.73
2011-12-12,1236.47
2011-12-09,1255.19
2011-12-08,1234.35
2011-12-07,1261.01
2011-12-06,1258.47
2011-12-05,1257.08
2011-12-02,1244.28
2011-12-01,1244.58
2011-11-30,1246.96
2011-11-29,1195.19
2011-11-28,1192.55
2011-11-25,1158.67
2011-11-23,1161.79
2011-11-22,1188.04
2011-11-21,1192.98
2011-11-18,1215.65
2011-11-17,1216.13
2011-11-16,1236.91
2011-11-15,1257.81
2011-11-14,1251.78
2011-11-11,1263.85
2011-11-10,1239.69
2011-11-09,1229.10
2011-11-08,1275.92
2011-11-07,1261.12
2011-11-04,1253.23
2011-11-03,1261.15
2011-11-02,1237.90
2011-11-01,1218.28
2011-10-31,1253.30
2011-10-28,1285.09
2011-10-27,1284.59
2011-10-26,1242.00
2011-10-25,1229.05
2011-10-24,1254.19
2011-10-21,1238.25
2011-10-20,1215.39
2011-10-19,1209.88
2011-10-18,1225.38
2011-10-17,1200.86
2011-10-14,1224.58
2011-10-13,1203.66
2011-10-12,1207.25
2011-10-11,1195.54
2011-10-10,1194.89
2011-10-07,1155.46
2011-10-06,1164.97
2011-10-05,1144.03
2011-10-04,1123.95
2011-10-03,1099.23
2011-09-30,1131.42
2011-09-29,1160.40
2011-09-28,1151.06
2011-09-27,1175.38
2011-09-26,1162.95
2011-09-23,1136.43
2011-09-22,1129.56
2011-09-21,1166.76
2011-09-20,1202.09
2011-09-19,1204.09
2011-09-16,1216.01
2011-09-15,1209.11
2011-09-14,1188.68
2011-09-13,1172.87
2011-09-12,1162.27
2011-09-09,1154.23
2011-09-08,1185.90
2011-09-07,1198.62
2011-09-06,1165.24
2011-09-02,1173.97
2011-09-01,1204.42
2011-08-31,1218.89
2011-08-30,1212.92
2011-08-29,1210.08
2011-08-26,1176.80
2011-08-25,1159.27
2011-08-24,1177.60
2011-08-23,1162.35
2011-08-22,1123.82
2011-08-19,1123.53
2011-08-18,1140.65
2011-08-17,1193.89
2011-08-16,1192.76
2011-08-15,1204.49
2011-08-12,1178.81
2011-08-11,1172.64
2011-08-10,1120.76
2011-08-09,1172.53
2011-08-08,1119.46
2011-08-05,1199.38
2011-08-04,1200.07
2011-08-03,1260.34
2011-08-02,1254.05
2011-08-01,1286.94
2011-07-29,1292.28
2011-07-28,1300.67
2011-07-27,1304.89
2011-07-26,1331.94
2011-07-25,1337.43
2011-07-22,1345.02
2011-07-21,1343.80
2011-07-20,1325.84
2011-07-19,1326.73
2011-07-18,1305.44
2011-07-15,1316.14
2011-07-14,1308.87
2011-07-13,1317.72
2011-07-12,1313.64
2011-07-11,1319.49
2011-07-08,1343.80
2011-07-07,1353.22
2011-07-06,1339.22
2011-07-05,1337.88
2011-07-01,1339.67
2011-06-30,1320.64
2011-06-29,1307.41
2011-06-28,1296.67
2011-06-27,1280.10
2011-06-24,1268.45
2011-06-23,1283.50
2011-06-22,1287.14
2011-06-21,1295.52
2011-06-20,1278.36
2011-06-17,1271.50
2011-06-16,1267.64
2011-06-15,1265.42
2011-06-14,1287.87
2011-06-13,1271.83
2011-06-10,1270.98
2011-06-09,1289.00
2011-06-08,1279.56
2011-06-07,1284.94
2011-06-06,1286.17
2011-06-03,1300.16
2011-06-02,1312.94
2011-06-01,1314.55
2011-05-31,1345.20
2011-05-27,1331.10
2011-05-26,1325.69
2011-05-25,1320.47
2011-05-24,1316.28
2011-05-23,1317.37
2011-05-20,1333.27
2011-05-19,1343.60
2011-05-18,1340.68
2011-05-17,1328.98
2011-05-16,1329.47
2011-05-13,1337.78
2011-05-12,1348.65
2011-05-11,1342.08
2011-05-10,1357.16
2011-05-09,1346.29
2011-05-06,1340.20
2011-05-05,1335.10
2011-05-04,1347.32
2011-05-03,1356.62
2011-05-02,1361.22
2011-04-29,1363.61
2011-04-28,1360.48
2011-04-27,1355.66
2011-04-26,1347.24
2011-04-25,1335.25
2011-04-21,1337.38
2011-04-20,1330.36
2011-04-19,1312.62
2011-04-18,1305.14
2011-04-15,1319.68
2011-04-14,1314.52
2011-04-13,1314.41
2011-04-12,1314.16
2011-04-11,1324.46
2011-04-08,1328.17
2011-04-07,1333.51
2011-04-06,1335.54
2011-04-05,1332.63
2011-04-04,1332.87
2011-04-01,1332.41
2011-03-31,1325.83
2011-03-30,1328.26
2011-03-29,1319.44
2011-03-28,1310.19
2011-03-25,1313.80
2011-03-24,1309.66
2011-03-23,1297.54
2011-03-22,1293.77
2011-03-21,1298.38
2011-03-18,1279.20
2011-03-17,1273.72
2011-03-16,1256.88
2011-03-15,1281.87
2011-03-14,1296.39
2011-03-11,1304.28
2011-03-10,1295.11
2011-03-09,1320.02
2011-03-08,1321.82
2011-03-07,1310.13
2011-03-04,1321.15
2011-03-03,1330.97
2011-03-02,1308.44
2011-03-01,1306.33
2011-02-28,1327.22
2011-02-25,1319.88
2011-02-24,1306.10
2011-02-23,1307.40
2011-02-22,1315.44
2011-02-18,1343.01
2011-02-17,1340.43
2011-02-16,1336.32
2011-02-15,1328.01
2011-02-14,1332.32
2011-02-11,1329.15
2011-02-10,1321.87
2011-02-09,1320.88
2011-02-08,1324.57
2011-02-07,1319.05
2011-02-04,1310.87
2011-02-03,1307.10
2011-02-02,1304.03
2011-02-01,1307.59
2011-01-31,1286.12
2011-01-28,1276.34
2011-01-27,1299.54
2011-01-26,1296.63
2011-01-25,1291.18
2011-01-24,1290.84
2011-01-21,1283.35
2011-01-20,1280.26
2011-01-19,1281.92
2011-01-18,1295.02
2011-01-14,1293.24
2011-01-13,1283.76
2011-01-12,1285.96
2011-01-11,1274.48
2011-01-10,1269.75
2011-01-07,1271.50
2011-01-06,1273.85
2011-01-05,1276.56
2011-01-04,1270.20
2011-01-03,1271.87
