date,open
12/30/2011,261
12/29/2011,259.64
12/28/2011,259.69
12/27/2011,264.36
12/26/2011,265.79
12/23/2011,264.28
12/22/2011,264.18
12/21/2011,272.52
12/20/2011,270.41
12/19/2011,269.58
12/16/2011,265.7
12/15/2011,270.64
12/14/2011,274.82
12/13/2011,281.89
12/12/2011,285.55
12/09/2011,288.44
12/08/2011,288.64
12/07/2011,287.41
12/06/2011,287.21
12/05/2011,293.07
12/02/2011,293.07
12/01/2011,295.22
11/30/2011,289.92
11/29/2011,300.66
11/28/2011,298.79
11/27/2011,296.96
11/25/2011,296.18
11/24/2011,298.18
11/23/2011,297.9
11/22/2011,300.86
11/21/2011,298.49
11/20/2011,300.33
11/18/2011,300.34
11/17/2011,304.91
11/16/2011,307.82
11/15/2011,316.15
11/14/2011,315.74
11/13/2011,309.3
11/11/2011,309.31
11/10/2011,309.5
11/09/2011,315.38
11/08/2011,313.32
11/07/2011,313.92
11/06/2011,315.26
11/04/2011,316.44
11/03/2011,316.61
11/02/2011,314.91
11/01/2011,308.24
10/31/2011,308.24
10/30/2011,308.9
10/28/2011,308.9
10/27/2011,306.73
10/26/2011,302.94
10/25/2011,299.44
10/24/2011,293.73
10/23/2011,287.29
10/21/2011,286.46
10/20/2011,288.29
10/19/2011,295.36
10/18/2011,296.07
10/17/2011,304.74
10/16/2011,303.94
10/14/2011,303.36
10/13/2011,304.21
10/12/2011,300.99
10/11/2011,289.81
10/10/2011,291.17
10/09/2011,293.52
10/07/2011,293.52
10/06/2011,293.52
10/05/2011,293.52
10/04/2011,293.52
10/03/2011,293.52
09/30/2011,293.52
09/29/2011,295.07
09/28/2011,299.24
09/27/2011,304.81
09/26/2011,300.47
09/25/2011,307.03
09/23/2011,307.03
09/22/2011,307.85
09/21/2011,318.42
09/20/2011,309.32
09/19/2011,307.85
09/18/2011,313.92
09/16/2011,313.92
09/15/2011,315.02
09/14/2011,314.17
09/13/2011,311.97
09/12/2011,315.96
09/11/2011,315.96
09/09/2011,315.96
09/08/2011,317.59
09/07/2011,320.43
09/06/2011,312.89
09/05/2011,312.62
09/04/2011,321.55
09/02/2011,321.55
09/01/2011,325.24
08/31/2011,327.29
08/30/2011,326.99
08/29/2011,328.47
08/28/2011,333.43
08/26/2011,333.43
08/25/2011,333.34
08/24/2011,323.59
08/23/2011,326.39
08/22/2011,319.86
08/21/2011,322.63
08/19/2011,322.58
08/18/2011,320.07
08/17/2011,331.57
08/16/2011,332.61
08/15/2011,334.86
08/14/2011,329.89
08/12/2011,329.89
08/11/2011,328.31
08/10/2011,323.31
08/09/2011,320.07
08/08/2011,319.95
08/07/2011,333.29
08/05/2011,333.34
08/04/2011,340.78
08/03/2011,339.63
08/02/2011,338.23
08/01/2011,342.3
07/31/2011,341.54
07/29/2011,341.55
07/28/2011,342.69
07/27/2011,345.39
07/26/2011,342.34
07/25/2011,341.13
07/24/2011,353.18
07/22/2011,353.18
07/21/2011,352.13
07/20/2011,356.33
07/19/2011,356.68
07/18/2011,359.86
07/17/2011,360.16
07/15/2011,360.16
07/14/2011,357.33
07/13/2011,356.95
07/12/2011,350.63
07/11/2011,356.73
07/10/2011,354.45
07/08/2011,355.6
07/07/2011,355.27
07/06/2011,357.18
07/05/2011,356.31
07/04/2011,356.33
07/03/2011,348.3
07/01/2011,347.81
06/30/2011,348.1
06/29/2011,342.38
06/28/2011,347.01
06/27/2011,347
06/26/2011,344.85
06/24/2011,344.89
06/23/2011,335.28
06/22/2011,330.05
06/21/2011,331.96
06/20/2011,328.62
06/19/2011,329.78
06/17/2011,330.36
06/16/2011,333.72
06/15/2011,338.36
06/14/2011,342.4
06/13/2011,338.35
06/12/2011,338.33
06/10/2011,339.43
06/09/2011,337.77
06/08/2011,344.75
06/07/2011,345.17
06/06/2011,342.75
06/03/2011,342.87
06/02/2011,338.97
06/01/2011,340.6
05/31/2011,343.04
05/30/2011,338.03
05/29/2011,338.79
05/27/2011,339.93
05/26/2011,344.54
05/25/2011,346.04
05/24/2011,350.06
05/23/2011,349.75
05/22/2011,361.8
05/20/2011,361.79
05/19/2011,361.9
05/18/2011,363.94
05/17/2011,361.17
05/16/2011,360.87
05/15/2011,363.33
05/13/2011,363.33
05/12/2011,360.06
05/11/2011,365.2
05/10/2011,367.05
05/09/2011,363.11
05/08/2011,361.76
05/06/2011,361.74
05/05/2011,361.89
05/04/2011,361.78
05/03/2011,370.25
05/02/2011,366.94
04/29/2011,366.94
04/28/2011,363.22
04/27/2011,370.16
04/26/2011,373.09
04/25/2011,376.85
04/24/2011,383.02
04/22/2011,383.02
04/21/2011,384.75
04/20/2011,382.2
04/19/2011,381.11
04/18/2011,388
04/17/2011,387.29
04/15/2011,387.3
04/14/2011,386.19
04/13/2011,387.58
04/12/2011,382.94
04/11/2011,382.95
04/10/2011,384.96
04/08/2011,384.95
04/07/2011,381.65
04/06/2011,380.49
04/05/2011,376.38
04/04/2011,370.61
04/01/2011,376.38
03/31/2011,370.61
03/30/2011,374.72
03/29/2011,376.58
03/28/2011,379.35
03/27/2011,379.24
03/25/2011,379.24
03/24/2011,374.92
03/23/2011,375.65
03/22/2011,371.08
03/21/2011,369.43
03/20/2011,370.54
03/18/2011,370.54
03/17/2011,368.56
03/16/2011,374.55
03/15/2011,369.4
03/14/2011,375.25
03/13/2011,373.22
03/11/2011,373.24
03/10/2011,376.12
03/09/2011,382.08
03/08/2011,381.67
03/07/2011,380.75
03/06/2011,374.57
03/04/2011,374.57
03/03/2011,369.18
03/02/2011,371.94
03/01/2011,372.64
02/28/2011,370.47
02/27/2011,365.88
02/25/2011,365.82
02/24/2011,365.31
02/23/2011,363.19
02/22/2011,360.61
02/21/2011,371.01
02/20/2011,365.83
02/18/2011,365.84
02/17/2011,368.89
02/16/2011,368.27
02/15/2011,364.65
02/14/2011,364.87
02/13/2011,355.46
02/11/2011,355.46
02/10/2011,353.64
02/09/2011,346.65
02/08/2011,349.53
02/07/2011,349.09
02/04/2011,349.04
02/03/2011,349.04
02/02/2011,349.09
02/01/2011,349.53
01/31/2011,349.09
01/30/2011,344.18
01/28/2011,344.18
01/27/2011,342.76
01/26/2011,337.51
01/25/2011,332.75
01/24/2011,335.3
01/23/2011,339.27
01/21/2011,339.27
01/20/2011,334.92
01/19/2011,345.89
01/18/2011,338.51
01/17/2011,337.79
01/16/2011,350.76
01/14/2011,356.91
01/13/2011,356.91
01/12/2011,354.61
01/11/2011,353.57
01/10/2011,360.76
01/07/2011,359.72
01/06/2011,361.41
01/05/2011,362.27
01/04/2011,356.06
01/03/2011,349.13
